id,category,name,fosterSpecific,priority,referralTrigger,eligibility,provides,access,phone,location,caveat,sourceUrl,lastVerified,referralStatus,notes,area,areaGroup,focusTags,radiusNote
46,Benefits / financial,Mecklenburg Energy Assistance (LIEAP/CIP),No,Core,A low-income household is struggling with heating/cooling bills or faces an energy crisis.,Income and program-specific household criteria apply.,Seasonal energy assistance and crisis intervention payments.,Apply through Mecklenburg County during the applicable program period.,704-336-3000,Mecklenburg County.,Funding is seasonal and finite; application windows and priority groups change.,https://dcr.mecknc.gov/energy,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Mental health / recovery; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
47,Benefits / financial,Work First Family Assistance (TANF),No,Specialized,A very-low-income young adult is caring for a child and needs cash assistance plus employment services.,Low-income families with children; work and program participation rules apply.,"Time-limited cash assistance, employment services and supportive benefits.",Apply through Mecklenburg Department of Community Resources.,704-336-3000,Mecklenburg County.,Generally not available to childless adults; sanctions and time limits apply.,https://dcr.mecknc.gov/Apply-for-Benefits,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Employment / workforce; Financial capability; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
48,Benefits / financial,Common Wealth Charlotte,No,Core,"A young adult needs budgeting, credit repair, banking access, debt planning or a safe small-dollar loan option.",Charlotte-area residents; specific products/services have eligibility rules.,"Free financial counseling, workshops, safe banking access, credit guidance and eligible 0% loans after counseling.",Call or schedule a financial counseling session.,980-636-1262,"5301 Wilkinson Blvd., Charlotte, NC 28208.",Loans are not automatic; participation and underwriting criteria apply.,https://www.commonwealthcharlotte.org/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Mentorship; Soft skills / life skills; Mental health / recovery; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
49,Parenting / family,Child Care Resources Inc. — Child Care Subsidy Support,No,Core,"A parenting young adult needs affordable child care to work, attend school or training.","Families meeting income, activity and child-age criteria; waitlists may apply.",Help understanding and applying for child-care subsidy plus child-care search support.,Call the subsidy information line or use the website.,704-348-2181,Mecklenburg County / regional.,Subsidy funding and waitlists fluctuate; child-care placement is separate from subsidy approval.,https://www.childcareresourcesinc.org/child-care-subsidy,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Education; Housing; Financial capability; Parenting / family,Located in or serving the requested roughly 30-mile Charlotte search area.
50,Benefits / financial,Social Security — SSI / SSDI,No,Specialized,A young adult has a documented disability that substantially limits work and may qualify for federal income support.,"Federal disability, work-credit and financial criteria apply.",Monthly disability income and potential connection to health coverage.,Apply through the Social Security Administration; gather medical and work documentation.,800-772-1213,Federal; local offices serve Charlotte.,Applications are evidence-heavy and often denied initially; legal assistance may be useful for appeals.,https://www.ssa.gov/benefits/disability/,2026-08-05,Not contacted,,Statewide / national,Statewide / national,Health care; Financial capability; Legal / safety; Disability support,Statewide or national fallback resource accessible from the Charlotte area.
51,Health care,Teen Health Connection,No,Core,"A young person needs adolescent/young-adult primary care, behavioral health, nutrition or health education in one setting.",Generally ages 11–25.,Integrated medical and behavioral-health care tailored to adolescents and young adults.,Call for an appointment.,704-381-8336,"3541 Randolph Rd., Suite 206, Charlotte, NC 28211.","Insurance, sliding-fee and service eligibility should be confirmed when scheduling.",https://teenhealthconnection.org/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Education; Food / essentials; Health care,Located in or serving the requested roughly 30-mile Charlotte search area.
52,Health care,Care Ring Low-Cost Clinic,No,Core,An uninsured or underinsured adult needs affordable primary care.,Adults meeting the clinic's service and financial criteria.,"Low-cost primary care, chronic-disease management and care coordination.",Call for eligibility and an appointment.,704-375-0172,"1514 N. Graham St., Charlotte, NC 28206.",Not an emergency clinic; appointment availability varies.,https://careringnc.org/low-cost-clinic/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Health care; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
53,Health care,Charlotte Community Health Clinic,No,Core,"An uninsured, underinsured or Medicaid-covered person needs primary, dental or behavioral care.",Open to community patients; discount eligibility is based on income and household size.,"Primary care, dental, behavioral health and pharmacy-related support.",Call for a new-patient appointment and ask about the discount program.,704-316-6561,Multiple Charlotte-area locations.,Appointment availability and service mix differ by location.,https://charlottecommunityhealth.org/en/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Health care; Financial capability; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
54,Health care,C.W. Williams Community Health Center,No,Core,A young adult needs affordable primary care through a federally qualified health center.,Community patients; sliding-fee eligibility depends on income and documentation.,"Primary and preventive care, dental care, behavioral health, substance-use treatment, HIV/STI services, pharmacy/lab support and case management.",Call to establish care and ask about sliding-fee documentation and the appropriate service line.,704-393-7720,Charlotte.,Bring income/insurance information; specialty access may require referral.,https://cwwilliams.org/services/,2026-08-05,Not contacted,Reviewed against FARM127 Resource Database 2024 and current official provider information.,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Health care; Mental health / recovery; Financial capability; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
55,Health care,Camino Health Center,No,Specialized,"A Spanish-speaking or immigrant young adult needs culturally responsive primary care, behavioral health, wellness or food support.","Community patients, especially uninsured/underinsured Latino families; program-specific criteria apply.","Bilingual primary care, behavioral health, wellness education, social navigation and Food Farmacy pantry support.","Contact Camino and request the appropriate clinic, behavioral-health, social-navigation or Food Farmacy service.",,"201 Stetson Dr., Charlotte, NC 28262.",Some services may be limited to established health-center patients.,https://camino.org/,2026-08-05,Not contacted,Reviewed against FARM127 Resource Database 2024 and current official provider information.,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Education; Food / essentials; Health care; Mental health / recovery; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
56,Health care,Mecklenburg Free and Low-Cost Clinic Directory,No,Backup,FARM127 needs to compare multiple safety-net clinics by location and service.,Eligibility varies by clinic.,"County list of free and low-cost medical, dental and specialty-care providers.","Use the directory, then call the selected clinic to verify intake.",,Mecklenburg County.,Directory listings do not guarantee a provider is accepting new patients.,https://health.mecknc.gov/FreeLowCostClinics,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Health care; Legal / safety,Located in or serving the requested roughly 30-mile Charlotte search area.
57,Health care,Mecklenburg Public Health — HIV/STI Testing and Treatment,No,Core,"A young adult needs confidential HIV/STI testing, treatment or prevention counseling.",Community members; service costs and appointment rules depend on test/treatment needs.,"HIV/STI testing, treatment, education and referral.",Call 704-432-TEST for testing help or 704-336-6500 for clinic appointments.,704-432-8378 / 704-336-6500,Mecklenburg County public-health clinics and community sites.,Walk-in and appointment procedures can change; call for current instructions.,https://health.mecknc.gov/clinical-services/STI-testing-treatment,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Education; Housing; Health care; Mental health / recovery; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
58,Health care,RAO Community Health — HIV/STI Services,No,Specialized,"A young adult needs free rapid HIV, hepatitis C or syphilis testing, PrEP or HIV-related care.",Community members; some free services are limited to Mecklenburg residents.,"Testing, treatment linkage, PrEP and HIV supportive services.",Call or schedule through RAO Community Health.,704-237-8793,Charlotte.,Clinic schedules and free-service eligibility vary.,https://raoassist.org/clinical-services/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Health care; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
59,Health care,Planned Parenthood — Charlotte Health Center,No,Specialized,"A young adult needs reproductive health care, contraception, pregnancy testing or STI services.",Patients seeking covered services; fees and consent rules depend on service and age.,"Sexual and reproductive health services, including STI testing and treatment.",Call or book through the Charlotte Health Center.,704-536-7233,Charlotte.,"Services, costs and insurance participation should be confirmed before the visit.",https://www.plannedparenthood.org/health-center/north-carolina/charlotte/28204/charlotte-health-center-2703-90860/std-testing-treatment,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Housing; Health care; Parenting / family,Located in or serving the requested roughly 30-mile Charlotte search area.
60,Parenting / family,Care Ring Nurse-Family Partnership,No,Specialized,A first-time parent with limited resources needs home-visiting support during pregnancy and early childhood.,"First-time mothers meeting pregnancy timing, income and service-area criteria.","Nurse home visits, prenatal/parenting education, health support and connection to resources.",Call or text for eligibility screening.,980-900-8132,Mecklenburg County / service area.,Enrollment must occur during pregnancy and capacity may be limited.,https://careringnc.org/nurse-family-partnership/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Education; Housing; Health care; Financial capability; Parenting / family,Located in or serving the requested roughly 30-mile Charlotte search area.
61,Mental health / substance use,NAMI Charlotte,No,Backup,"A young adult or supporter needs mental-health education, peer/family support or crisis-resource guidance.",Programs vary; many are free and open to people affected by mental illness.,"Support groups, education, advocacy and crisis-resource information.",Use the website to find a current group or program.,,Charlotte / Mecklenburg County.,NAMI is not a crisis-response or clinical-treatment provider.,https://namicharlotte.org/crisis-info/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Education; Housing; Health care; Mental health / recovery; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
62,Mental health / substance use,Anuvia Prevention & Recovery Center,No,Core,"A young adult needs substance-use assessment, detox, outpatient or residential treatment.","Adolescents and adults; clinical, payer and program criteria apply.","Prevention, assessment, detoxification, residential and outpatient substance-use treatment.",Call the main line for assessment; use the detox line for withdrawal-management intake.,704-376-7447 / detox 704-445-6900,Charlotte / Mecklenburg County.,Level of care is determined clinically; bed availability and payment coverage vary.,https://www.anuvia.org/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Health care; Mental health / recovery,Located in or serving the requested roughly 30-mile Charlotte search area.
63,Mental health / substance use,McLeod Centers for Wellbeing,No,Core,"A young adult needs evidence-based substance-use treatment, including outpatient or medication-assisted care.",Adolescents/adults depending on program; clinical and payer criteria apply.,Substance-use assessment and treatment across multiple levels of care.,Call for screening and the appropriate Charlotte-area program.,704-332-9001,Charlotte / regional.,"Program openings, insurance and medication-treatment criteria vary.",https://www.mcleodcenters.org/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Health care; Mental health / recovery; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
64,Specialized / inclusion,Time Out Youth — Counseling and Support,No,Specialized,"An LGBTQ+ youth or young adult needs affirming counseling, groups, case support or community.","LGBTQ+ youth and young adults; age range varies by service, generally through age 24.","Free/low-cost counseling, support groups, case management, community and practical services.",Contact Time Out Youth for intake and the current service calendar.,,Charlotte / regional.,Not every service is available to every age; housing and therapy may have separate waitlists.,https://timeoutyouth.org/services/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Mentorship; Housing; Mental health / recovery; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
65,Education / employment,NCWorks NextGen — Charlotte Works,No,Core,"A young adult needs career coaching, paid work experience, training or help overcoming barriers to employment.",Generally ages 16–24 with one or more employment/education barriers; program eligibility applies.,"No-cost career planning, training, credentials, supportive services and work-based learning.",Complete a NextGen interest/intake form through Charlotte Works or Central Piedmont.,,Charlotte / Mecklenburg County.,Eligibility and funding-supported services require documentation; enrollment is not instant.,https://www.charlotteworks.com/services/youth-young-adults/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Mentorship; Soft skills / life skills; Employment / workforce; Education,Located in or serving the requested roughly 30-mile Charlotte search area.
66,Education / employment,NCWorks Career Centers — Charlotte Works,No,Core,"Any job seeker needs resume help, job-search support, workshops or connection to employers.",Job seekers; some funded training programs have additional eligibility.,"Free career-center services, computers, workshops, job matching and training navigation.",Visit or contact a local NCWorks Career Center.,,Charlotte / Mecklenburg County.,Training funds and program slots are limited; general career services remain free.,https://www.charlotteworks.com/services/career-services/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Employment / workforce; Education,Located in or serving the requested roughly 30-mile Charlotte search area.
67,Education / employment,Central Piedmont — Finish High School (GED/HiSET),No,Core,A young adult needs a high-school equivalency credential.,Adults and eligible minors under program rules; placement/orientation requirements apply.,Free preparation classes for GED or HiSET and adult high-school options.,Complete the Central Piedmont orientation/enrollment steps.,,Central Piedmont campuses / online options.,Testing fees and class schedules may vary even when instruction is free.,https://www.cpcc.edu/programs/finish-high-school,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Employment / workforce; Education; Health care,Located in or serving the requested roughly 30-mile Charlotte search area.
68,Education / employment,Central Piedmont — College and Career Readiness,No,Core,"A young adult needs foundational academic, English-language, adult high-school or transition-to-college support.",Program-specific eligibility and placement requirements.,"Adult education, English-language learning, high-school completion and career/college transition.",Follow Central Piedmont's CCR enrollment process.,,Mecklenburg County.,"Course locations, formats and start dates vary.",https://www.cpcc.edu/admissions/enroll/college-and-career-readiness,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Employment / workforce; Education; Transportation,Located in or serving the requested roughly 30-mile Charlotte search area.
69,Education / employment,Goodwill Industries of the Southern Piedmont — Charlotte Career Center,No,Core,"A young adult needs hands-on job search help, computer access, training enrollment or career coaching.",Open career-center services; individual training programs have separate criteria.,"Career coaching, resume and job-search help, digital-skills support, free skill-building workshops and access to tuition-free occupational training through Goodwill's training programs.",Visit the Charlotte Career & Employment Center to meet with a team member and review current workshops or training cohorts.,,Charlotte.,Course demand and enrollment windows vary.,https://goodwillsp.org/job-career-services/,2026-08-05,Not contacted,Reviewed against FARM127 Resource Database 2024 and current official provider information.,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Employment / workforce; Education; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
70,Education / employment,Urban League of Central Carolinas,No,Core,A young adult wants no-cost occupational training and job placement support.,"Program-specific age, education and income criteria may apply.","Training pathways including skilled trades, technology, customer service and healthcare-related programs.",Contact the Urban League and request current program enrollment information.,704-373-2256,"740 W. 5th St., Charlotte, NC 28202.","Course offerings, prerequisites and cohorts change.",https://www.urbanleaguecc.org/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Employment / workforce; Education; Housing; Health care; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
71,Education / employment,Road to Hire,No,Specialized,"A young adult wants paid training, mentorship and a pathway into a technical or professional career.","Young adults meeting the current cohort's age, education and employment criteria.","Paid training, professional development, mentorship and employer connections/apprenticeships.",Review current programs and apply during an open cohort.,,Charlotte region.,Cohort eligibility and recruiting periods change; verify the current program before referring.,https://www.roadtohire.org/our-programs,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Mentorship; Soft skills / life skills; Employment / workforce; Education; Housing; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
72,Education / employment,Year Up United — Charlotte,No,Specialized,"A young adult wants structured job training, internship experience and employer access.","Young adults meeting the Charlotte program's current age, education and work-authorization criteria.","Career training, coaching, internship and job-placement support.",Attend an information session and complete the application.,,Charlotte.,Cohorts are competitive and time-bound; confirm current age and enrollment criteria.,https://www.yearup.org/locations/charlotte-nc,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Mentorship; Soft skills / life skills; Employment / workforce; Education; Housing; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
73,Education / employment,Mecklenburg County — More Than a Job NC,No,Backup,FARM127 needs a county-curated list of free job-driven training providers.,Eligibility varies by partner program.,Connections to free workforce training through partners such as Goodwill and Urban League.,Review the listed partners and apply with the relevant training provider.,,Mecklenburg County.,"This is a referral page, not a separate guaranteed-benefit program.",https://dcr.mecknc.gov/employment/more-than-a-job,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Employment / workforce; Education; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
74,Education / employment,NC Employment and Independence for People with Disabilities (Vocational Rehabilitation),No,Core,"A young adult with a disability needs help preparing for, obtaining or keeping employment.","A physical, mental, intellectual or sensory disability that creates a substantial barrier to employment; formal eligibility assessment required.","Vocational counseling, training, job placement, assistive support and independent-living services.",Request services through the state EIPD office.,,North Carolina / local offices.,Eligibility and an individualized employment plan are required; services are not general cash assistance.,https://www.ncdhhs.gov/eipd,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Employment / workforce; Education; Health care; Mental health / recovery; Financial capability; Disability support,Located in or serving the requested roughly 30-mile Charlotte search area.
75,Education / employment,Charlotte Mecklenburg Library — College & Career Prep,No,Backup,"A young adult needs free online learning, resume tools, test preparation or library-based career resources.",Library card/access requirements apply to some digital tools.,"Career, college, test-prep, technology and learning resources.",Use the Digital Branch or ask a library staff member for help.,,Charlotte / Mecklenburg County.,Not a case-management or placement program; resource availability depends on library subscriptions.,https://digitalbranch.cmlibrary.org/college-career-prep/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Employment / workforce; Education,Located in or serving the requested roughly 30-mile Charlotte search area.
76,Education / employment,Dress for Success Charlotte,No,Specialized,"A low-income woman needs interview clothing, a work wardrobe and job-readiness support.",Women referred through partner agencies or meeting current intake rules.,"Interview/employment styling, career coaching, financial education and professional development.",Request referral/intake instructions before visiting.,,Charlotte.,Services are designed for women and often require a referral appointment.,https://charlotte.dressforsuccess.org/about-us/what-we-do/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Employment / workforce; Education; Housing; Financial capability,Located in or serving the requested roughly 30-mile Charlotte search area.
77,Education / employment,UNC Charlotte Niner Needs,No,Specialized,"A currently enrolled UNC Charlotte student needs food, housing, transportation, technology, legal or emergency support.",Current UNC Charlotte students; each support has its own criteria.,Campus basic-needs navigation and emergency-support resources.,Use the Niner Needs site and contact the relevant campus office.,,UNC Charlotte.,Only useful for enrolled students; emergency funds and services are limited.,https://ninerneeds.charlotte.edu/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Employment / workforce; Education; Housing; Food / essentials; Legal / safety; Transportation,Located in or serving the requested roughly 30-mile Charlotte search area.
78,Transportation,CATS Fares and Passes,No,Core,"A young adult needs to compare daily fares, passes and transit payment options.",Public transit riders.,"Bus and light-rail fare information, passes and payment guidance.",Use the official fare page and the current CATS payment method.,,Charlotte / Mecklenburg transit service area.,Fares and pass products can change; verify before budgeting.,https://www.charlottenc.gov/CATS/Fares-Passes,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Housing; Transportation,Located in or serving the requested roughly 30-mile Charlotte search area.
79,Transportation,CATS Reduced Fare Transit IDs,No,Specialized,"A rider with a qualifying disability, Medicare status or student category may be eligible for reduced fares.",Qualifying riders under current CATS rules; documentation required.,Reduced-fare identification and discounted transit fares.,Review documentation and apply for the appropriate Transit ID.,,Charlotte / Mecklenburg transit service area.,Not all low-income adults qualify; approval is category-based.,https://www.charlottenc.gov/CATS/Fares-Passes/Transit-IDs,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Housing; Financial capability; Disability support; Transportation,Located in or serving the requested roughly 30-mile Charlotte search area.
80,Transportation,Mecklenburg Transportation System (MTS),No,Specialized,An eligible resident needs non-emergency medical or human-services transportation.,"Medicaid beneficiaries and other qualifying residents based on age, disability or program status.",Scheduled non-emergency medical and eligible general transportation.,Call for eligibility and trip scheduling; Medicaid members may also need health-plan authorization.,704-336-4547,Mecklenburg County.,Advance scheduling and eligibility verification are required; not an on-demand ride service.,https://cfas.mecknc.gov/services/mecklenburg-transportation-system,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Health care; Disability support; Transportation,Located in or serving the requested roughly 30-mile Charlotte search area.
81,Legal / identity / safety,Charlotte Center for Legal Advocacy,No,Core,"A low-income young adult needs civil legal help involving benefits, housing, health care, immigration, taxes or expunction.",Low-income residents and issue-specific service criteria.,"Free civil legal advocacy, advice and representation in selected matters.",Call the intake line or use Get Help; Spanish intake is available.,704-376-1600 / Spanish 800-247-1931,Charlotte / regional.,The organization cannot accept every case; legal deadlines continue while intake is pending.,https://charlottelegaladvocacy.org/get-help/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Housing; Health care; Financial capability; Legal / safety,Located in or serving the requested roughly 30-mile Charlotte search area.
82,Legal / identity / safety,Legal Aid of North Carolina,No,Core,"A low-income young adult needs help with eviction, domestic violence, consumer issues, benefits or another civil legal problem.",Low-income North Carolina residents; issue and conflict screening apply.,"Free civil legal information, advice and representation in eligible cases.",Apply online or call the statewide helpline.,1-866-219-5262,North Carolina; Charlotte office/service area.,High demand means not every eligible applicant receives representation.,https://legalaidnc.org/apply/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Housing; Health care; Financial capability; Legal / safety,Located in or serving the requested roughly 30-mile Charlotte search area.
83,Legal / identity / safety,Mecklenburg County Office of Vital Records,No,Core,"A young adult needs a Mecklenburg birth or death certificate for identification, benefits, school or employment.",Eligible applicants under state vital-record rules; identification and fees apply.,Certified vital records.,"Order online, by mail or in person using the county's instructions.",,"618 N. College St., Charlotte, NC 28202.",Only records in the office's jurisdiction are available; fees and ID requirements apply.,https://health.mecknc.gov/services/office-vital-records,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Employment / workforce; Education; Financial capability; Legal / safety,Located in or serving the requested roughly 30-mile Charlotte search area.
84,Legal / identity / safety,Safe Alliance — Victim Assistance and Sexual Assault Services,No,Core,"A survivor needs crisis counseling, court advocacy, sexual-assault support or help navigating protective options.","Survivors of domestic violence, sexual assault or related victimization.","24/7 hotline, hospital accompaniment, counseling, court advocacy and safety planning.",Call the Greater Charlotte Hope Line.,980-771-4673,Charlotte / Mecklenburg County.,Call 911 for immediate danger; legal representation may require referral to a legal-services provider.,https://www.safealliance.org/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Health care; Mental health / recovery; Financial capability; Legal / safety,Located in or serving the requested roughly 30-mile Charlotte search area.
85,Legal / identity / safety,Mecklenburg County Re-Entry Services,No,Specialized,"A young adult recently released from incarceration needs employment, education, identification or service coordination.",Generally Mecklenburg residents within one year of release; confirm current criteria.,"Re-entry case management, employment preparation, education and community-service connections.",Call the Re-Entry Services office for screening.,980-314-1750,Mecklenburg County.,Eligibility is tied to justice involvement and release timing.,https://cjs.mecknc.gov/Services/Re-Entry,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Employment / workforce; Education; Housing; Health care; Legal / safety; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
86,Legal / identity / safety,Center for Community Transitions,No,Specialized,"A person affected by incarceration needs re-entry employment, family support or transition services.",People with current/former justice-system involvement and their families; program criteria vary.,"Employment readiness, re-entry support and family-focused programs.",Contact the organization for the appropriate program intake.,,Charlotte / Mecklenburg County.,Programs serve specific justice-involved populations; verify fit before referral.,https://centerforcommunitytransitions.org/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Employment / workforce; Housing; Health care; Legal / safety; Community / belonging; Transportation,Located in or serving the requested roughly 30-mile Charlotte search area.
87,Legal / identity / safety,National Human Trafficking Hotline,No,Core,"A young adult may be experiencing labor or sex trafficking, exploitation or coercive control.",Anyone seeking help or reporting a concern.,"24/7 confidential safety planning, crisis support and connection to local services.","Call, text or use online chat; call 911 for immediate danger.",1-888-373-7888 / text BEFREE to 233733,Nationwide; local Charlotte referrals.,Hotline staff coordinate options but cannot guarantee immediate housing or law-enforcement response.,https://www.nccourts.gov/commissions/human-trafficking-commission/human-trafficking-charlotte-psa-campaign,2026-08-05,Not contacted,,Statewide / national,Statewide / national,Housing; Mental health / recovery; Legal / safety,Statewide or national fallback resource accessible from the Charlotte area.
88,Legal / identity / safety,Hope for Justice — North Carolina Regional Center,No,Specialized,A trafficking survivor needs trauma-informed case management and longer-term support.,Survivors meeting program criteria; confirm geographic and program eligibility.,"Trauma-informed advocacy, case management and connection to housing, health and legal resources.",Contact the North Carolina regional program for screening.,,Charlotte / North Carolina region.,Capacity and referral criteria vary; this is not a 24/7 emergency hotline.,https://hopeforjustice.org/news/hope-for-justice-north-carolina-regional-center-formerly-lily-pad-haven/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Housing; Health care; Legal / safety,Located in or serving the requested roughly 30-mile Charlotte search area.
89,Parenting / family,Smart Start of Mecklenburg County,No,Backup,"A parenting young adult needs early-childhood, parenting or child-development resources.",Families and caregivers of young children; program eligibility varies.,"Parent education, early-childhood navigation and connections to family supports.",Use the families/caregivers resource page or contact Smart Start.,,Mecklenburg County.,Smart Start coordinates and funds multiple programs; availability depends on the specific partner.,https://www.smartstartofmeck.org/families-caregivers/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Education; Housing; Parenting / family,Located in or serving the requested roughly 30-mile Charlotte search area.
90,Specialized / inclusion,Disability Rights & Resources,No,Core,"A young adult with a disability needs independent-living skills, advocacy, benefits navigation or accessibility support.",People with disabilities; specific services may have geographic or program criteria.,"Independent-living skills, advocacy, transportation guidance, budgeting and employment-related support.",Contact the Center for Independent Living and request an intake.,,Charlotte / regional.,"This is an independent-living and advocacy organization, not residential care or emergency assistance.",https://disability-rights.org/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Soft skills / life skills; Employment / workforce; Financial capability; Disability support; Community / belonging; Transportation,Located in or serving the requested roughly 30-mile Charlotte search area.
91,Mentorship / life skills,Home4Me — LEG Up on LIFE,Yes,Core,"A current or former foster youth needs consistent coaching, mentors and practical independent-living development.",Youth and young adults transitioning from foster care or adolescence; program includes age-based tracks and adult support. Confirm current enrollment.,"Mentoring, leadership, personal development, college and career direction, financial literacy, wellness and hands-on independent-living skills.","Use the LEG Up on LIFE page or call Home4Me to ask about the current virtual meeting, workshops and enrollment.",704-974-6570,Greater Charlotte area; recurring virtual programming.,Meeting schedules and enrollment processes can change. Confirm the appropriate age track and whether individual coaching is available.,https://home4me.org/leg-up-on-life-2-2/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Mentorship; Soft skills / life skills; Employment / workforce; Education; Financial capability; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
92,Mentorship / life skills,Machiah's House,Yes,Specialized,"A young woman aging out of foster care needs supportive relationships, workshops and help preparing for independent adulthood.",Young women generally ages 18–24 who are aging out of foster care; confirm the current program and referral criteria.,"Workshops, community events, mentoring-oriented support and connection to education, work and stability resources.",Contact Machiah’s House and request a current program screening.,704-669-8016,"Charlotte, NC; mailing address PO Box 42624, Charlotte, NC 28215.",The organization is developing its residential vision; do not describe housing as currently available unless staff confirms it.,https://machiahshouse.org/programs/,2026-08-05,Not contacted,,Charlotte / Mecklenburg,Charlotte / Mecklenburg,Mentorship; Soft skills / life skills; Employment / workforce; Education; Community / belonging,Located in or serving the requested roughly 30-mile Charlotte search area.
